smiles,nucleophilicity
CCC(=[NH:1])C,10.24260604
CCCOC(=[O:1])C(C)CC,-3.754166389
CC(=[O:1])OC(C)(C)C,-2.862272985
CCC(C)[N-:1]C(C)CC,31.9044304
[C-:1]#[N+]C(C(C)C)C(C)C,11.32381209
CCCC=[N:1]CC,9.765389788
CCC(=[N:1]C)C,10.71411491
CC[N:1](C(C)C)C(C)C,9.556049276
CC[C:1](=[N+]([O-])[O-])C(C(C)C)C(C)C,12.33999217
CCC(CC)[O:1]CC(C)(C)C,-3.229578637
CC[N:1](CC(C)C)C(C)C,8.069668919
CCC[C:1](=C=[N-])Cc1ccccc1,25.1202609
CC(C)C[CH-:1]C(C)C,40.82518305
CNC(=[O:1])c1ccccc1,-0.783252192
CN(Cc1ccccc1)C=[O:1],-0.394309929
CCCC(=[C:1](C)C)[O-],23.70322345
CCC(C)C(=[O:1])CC,-2.880591633
CCC(CC)[N-:1]c1ccccc1,21.96098745
CC[NH:1]CC,10.77871699
CCC(C)[C:1](=C=[N-])CC(C)C,25.35656549
CCC(C(C)C)[C:1](=C=[N-])C(C)(C)C,22.53118477
CCC(=[O:1])C,-2.342042452
CCCOC(=[O:1])C(C)C,-3.589984816
c1ccc(cc1)[CH:1]=[N+]([O-])[O-],14.64647368
C[NH:1]C,11.40203778
CCC[N:1]=C(C)c1ccccc1,9.342586865
CCC(C)[C-:1](C(C)(C)C)[N+]#N,6.983865307
CCCC(=[C:1](CC)c1ccccc1)[O-],18.25970815
CC(C)C[C-:1](C(C)C)[N+]#N,7.617276136
CC[N:1](CC)CC(C)C,10.5629521
CC[CH-:1][N+]#N,9.974706991
CC(C)[CH:1]=[N+]([O-])[O-],17.7192455
CC(C)N(C)C=[O:1],0.225776401
CCC(C(C)C)[O:1]CC(C)C,-3.454714971
CC=[O:1],-4.545883498
CC(C)(C)C[C-:1](C(C)(C)C)[N+]#N,5.406759528
CCCC(=[N:1]CCC)c1ccccc1,9.812905154
CCC(C(C)C)[C:1](=[N+]([O-])[O-])CC,15.62074814
[N:1]#CC(CC)CC,-0.237503032
CCC(=[O:1])OC,-6.555627337
CCC[N:1]=C(C)C,10.72043183
CCC[C-:1](CC(C)C)CC(C)C,41.76152872
[N:1]#CCCC,-0.238987183
[N:1]#CCC(C)(C)C,-0.424987223
CC[CH-:1]C,40.81662627
CCC(=[O:1])N(C)C(C)C,0.526088222
CCOC(=[O:1])Cc1ccccc1,-4.015772261
CCC=[N:1]CC,9.730461974
CC[N-:1]C,29.92596665
c1ccc(cc1)C[O:1]Cc2ccccc2,-4.023584511
CC(C)[C-:1](C)C(C)C,41.84061878
CCC(CC)[C:1](=[N+]([O-])[O-])c1ccccc1,15.05662538
CCC(=[O:1])N(CC)Cc1ccccc1,-0.238078938
CC(C)C=[O:1],-4.756556635
CCC(=[C:1](C)C)[O-],23.50409845
C[CH:1]=C(c1ccccc1)[O-],21.61942504
CCN(C(C)C)C(=[O:1])C,1.195491957
CC(C)CC(=[O:1])C(C)(C)C,-3.813963569
[CH2-:1]c1ccccc1,30.11886516
CCC[N:1]=C(C)C(C)C,10.75756877
CC(C)C[CH:1]=[N+]([O-])[O-],16.73392412
CCC[C:1](=[N+]([O-])[O-])CC,16.82252388
CCCC(=[N:1]C)c1ccccc1,9.806930797
CCC[C-:1](c1ccccc1)C(C)C,30.61597018
CCCN(C)C(=[O:1])C,0.948296691
c1ccc(cc1)C=[NH:1],9.687426991
CCC(C)[C:1](=C=[N-])Cc1ccccc1,25.93322494
CC[C:1](=C[O-])Cc1ccccc1,19.70102369
CCC[C-:1](CC(C)C)C(C)C,41.80728079
CC(=[O:1])OC,-3.689923366
CCC(=[N:1]C)c1ccccc1,9.778731697
CCC[N-:1]c1ccccc1,22.01742925
CCC(CC)[CH:1]=[N+]([O-])[O-],17.14904563
CCC(C)[C-:1](C(C)C)[N+]#N,8.503845467
CCC(CC)[C:1](=C=[N-])C(CC)CC,25.83648414
CCC[C-:1](CCC)Cc1ccccc1,40.33108447
CC(=[NH:1])C,10.51657151
CCC(C(C)C)[C-:1](C(C)C)[N+]#N,7.859593843
CCC[C-:1](C(C)C)C(C)(C)C,39.88799552
CC(C)C(=[N:1]C)C,9.141290303
C[C:1](=C(C)[O-])c1ccccc1,19.02460917
CC[C:1](=C[O-])C,20.83165797
CC(C)C(C(C)C)[C-:1](C)[N+]#N,5.86410698
CCC(CC)C(=[O:1])CC(C)(C)C,-4.102450546
CC(C)C([CH:1]=[N+]([O-])[O-])C(C)C,15.68083645
CC[NH:1]C,11.44998554
CC(C)(C)[CH-:1]c1ccccc1,31.67600899
C[C:1](=[N+]([O-])[O-])c1ccccc1,15.3906811
CCC[N:1](C)c1ccccc1,4.042057631
c1ccc(cc1)CC(=[O:1])Cc2ccccc2,-4.532378088
CC(C)C(=[NH:1])C,10.64394676
CCC(=[O:1])OCc1ccccc1,-3.996863751
CC(C)C(=[N:1]C)C(C)C,8.261166004
c1ccc(cc1)NC=[O:1],-2.107380609
CC(C)(C)C(=[O:1])Cc1ccccc1,-3.542047477
CC(C)COC(=[O:1])C(C)C,-3.514380964
CC(C)C[C-:1](CC(C)(C)C)[N+]#N,6.602429507
CCN(C=[O:1])C(C)C,0.313975308
CCC[N:1](C)CCC,10.6588476
CC(C)C[C:1](=[N+]([O-])[O-])Cc1ccccc1,15.95744835
CC(C)[C-:1](CC(C)(C)C)[N+]#N,5.935531476
CC(C)[C:1](=C=[N-])C(C)(C)C,25.35149596
CCCC(=[O:1])O,-3.560278179
CCC(C(C)C)OC(=[O:1])C,-3.495898934
CC[N:1](CC)c1ccccc1,5.21677759
CCNC(=[O:1])c1ccccc1,-0.771031746
CCC(C)[O:1]C(C)(C)C,-3.03450448
CCC[C-:1](C(C)(C)C)[N+]#N,7.738712337
CCC(C)[O:1]C(CC)CC,-3.870605341
CCC(C(C)C)[C-:1](C(CC)C(C)C)[N+]#N,4.947993654
C[CH2-:1],39.13245241
CCC(C(C)C)[C-:1](Cc1ccccc1)[N+]#N,6.408803967
CC[C-:1](CC(C)C)C(C)C,40.17428951
CCC(=[C:1](C)Cc1ccccc1)[O-],23.34518143
CCC[C:1](=[N+]([O-])[O-])C(CC)C(C)C,12.38093222
